@relation tanks_data

@attribute Name STRING
@attribute Tier {'X', 'IX', 'VIII', 'VII', 'VI', 'V', 'IV', 'III', 'II', 'I'}
@attribute Premium {True, False}
@attribute Reward {True, False}
@attribute Event {True, False}
@attribute Nationality {'American', 'British', 'Soviet', 'Chinese', 'French', 'Czech', 'German', 'Italian', 'Japanese', 'Polish', 'Swedish'}
@attribute Type {'Heavy Tank', 'Medium Tank', 'Light Tank', 'Tank Destroyer', 'Artillery'}
@attribute DPM NUMERIC
@attribute Damage NUMERIC
@attribute Penetration (mm) NUMERIC
@attribute DPM at 500m (mm) NUMERIC
@attribute Reload time (sec) NUMERIC
@attribute Rate of fire (rnds/min) NUMERIC
@attribute Aim time (sec) NUMERIC
@attribute Dispersion NUMERIC
@attribute Dispersion damaged NUMERIC
@attribute Dispersion factors moving (+) NUMERIC
@attribute Dispersion factors tank traverse (+) NUMERIC
@attribute Dispersion factors turret traverse (+) NUMERIC
@attribute Dispersion factors after firing (+) NUMERIC
@attribute Dispersion factors damaged (×) NUMERIC
@attribute Damage vs. modules NUMERIC
@attribute Caliber (mm) NUMERIC
@attribute Shell velocity (m/s) NUMERIC
@attribute Max range (m) NUMERIC
@attribute Ammo capacity NUMERIC
@attribute Potential damage NUMERIC
@attribute Shell cost NUMERIC
@attribute Top speed (km/h) NUMERIC
@attribute Reverse speed (km/h) NUMERIC
@attribute Power (hp) NUMERIC
@attribute Power/weight (hp/t) NUMERIC
@attribute Tank traverse (°/sec) NUMERIC
@attribute Effective top speed hard (km/h) NUMERIC
@attribute Effective top speed medium (km/h) NUMERIC
@attribute Effective top speed soft (km/h) NUMERIC
@attribute Effective traverse hard (°/sec) NUMERIC
@attribute Effective traverse medium (°/sec) NUMERIC
@attribute Effective traverse soft (°/sec) NUMERIC
@attribute Terrain resistance hard NUMERIC
@attribute Terrain resistance medium NUMERIC
@attribute Terrain resistance soft NUMERIC
@attribute Gun elevation (°) NUMERIC
@attribute Gun depression (°) NUMERIC
@attribute Gun traverse (°/sec) NUMERIC
@attribute Gun traverse range (°) part 1 STRING
@attribute Gun traverse range (°) part 2 NUMERIC
@attribute Turret traverse (°/sec) NUMERIC
@attribute Hull armor (mm) part 1 NUMERIC
@attribute Hull armor (mm) part 2 NUMERIC
@attribute Hull armor (mm) part 3 NUMERIC
@attribute Turret armor (mm) part 1 NUMERIC
@attribute Turret armor (mm) part 2 NUMERIC
@attribute Turret armor (mm) part 3 NUMERIC
@attribute Track armor (mm) NUMERIC
@attribute Health NUMERIC
@attribute Engine health NUMERIC
@attribute Track health NUMERIC
@attribute Health repair time (sec) NUMERIC
@attribute Ammo rack health NUMERIC
@attribute Fuel tank health NUMERIC
@attribute Max load (kg) NUMERIC
@attribute Total weight (kg) NUMERIC
@attribute Stationary camo (%) part 1 NUMERIC
@attribute Stationary camo (%) part 2 NUMERIC
@attribute Moving camo (%) part 1 NUMERIC
@attribute Moving camo (%) part 2 NUMERIC
@attribute View range (m) NUMERIC
@attribute Radio range (m) NUMERIC
@attribute Fire chance (%) NUMERIC
@attribute Tank cost (silver) NUMERIC
@attribute Tank cost (gold) NUMERIC
@attribute Clip size NUMERIC
@attribute Clip damage part 1 NUMERIC
@attribute Clip damage part 2 NUMERIC
@attribute Intra-clip reload NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 1 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 2 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 3 NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 4 NUMERIC
@attribute Max wheel angle (°) NUMERIC
@attribute Axle count NUMERIC
@attribute Siege enabled (km/h) NUMERIC
@attribute Siege disabled (km/h) NUMERIC
@attribute Rocket boosters uses NUMERIC
@attribute Rocket boosters duration (sec) NUMERIC
@attribute Rocket boosters cooldown (sec) NUMERIC
@attribute Rocket boosters initial cooldown (s) NUMERIC
@attribute Track health part 1 NUMERIC
@attribute Track health part 2 NUMERIC
@attribute Health repair time (sec) part 1 NUMERIC
@attribute Health repair time (sec) part 2 NUMERIC
@attribute Reload time (sec) part 1 NUMERIC
@attribute Reload time (sec) part 2 NUMERIC
@attribute DPM alt. gun (sec) NUMERIC
@attribute DPM charge/lock (sec) part 1 NUMERIC
@attribute DPM charge/lock (sec) part 2 NUMERIC
@attribute Dispersion before cooldown NUMERIC
@attribute Cooldown delay (sec) NUMERIC
@attribute Ricochet angle (°) NUMERIC
@attribute DPM at 50m NUMERIC
@attribute DPM at 50m at 500m NUMERIC
@attribute Damage at 50m NUMERIC
@attribute DPM at 50m at 500m (mm) NUMERIC
@attribute Dispersion factors at 500m NUMERIC
@attribute Explosion radius (m) NUMERIC
@attribute Stun duration (s) STRING
@attribute Shell gravity (m/s²) NUMERIC
@attribute Ballistic range (m) NUMERIC
@attribute DPM burst size NUMERIC
@attribute DPM burst damage part 1 NUMERIC
@attribute DPM burst damage part 2 STRING
@attribute Normalization (°) NUMERIC
@attribute Tank cost in NA NUMERIC
@attribute View range (m) in EU NUMERIC
@attribute View range (m) in Asia NUMERIC
@attribute Reload time (sec) (starting with an empty clip) part 5 NUMERIC
@attribute DPM at 400m (mm) NUMERIC

@data
'E 50 Ausf. M','X',False,False,False,'German','Medium Tank',2542.31,390,270,260,9.20,6.52,2.01,0.29,0.58,0.14,0.14,0.08,3,2,150,105,1500,720,48,18720,1200,60,20,1268.74,20.36,45.89,60,59.61,33.69,43.60,36.89,20.85,1.05,1.25,2.21,20,8,21.88,'-180',180,31.29,150,80,80,250,80,80,25,2050,360,300,12.03,280,200,67000,62310,9.86,2.06,7.41,1.55,400,750.96,12,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'E 50 Ausf. M 7v7','X',False,True,False,'German','Medium Tank',2542.31,390,270,260,9.20,6.52,2.01,0.29,0.58,0.14,0.14,0.08,3,2,150,105,1500,720,48,18720,1200,60,20,1268.74,20.36,45.89,60,59.61,33.69,43.60,36.89,20.85,1.05,1.25,2.21,20,8,21.88,'-180',180,31.29,150,80,80,250,80,80,25,2050,360,300,12.03,280,200,67000,62310,9.86,2.06,7.41,1.55,400,750.96,12,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'EOS 1','X',False,False,True,'German','Medium Tank',5006.40,400,278,269,4.79,12.52,1.44,0.24,0.48,0.08,0.08,0.07,2,2,75,105,1000,720,2000,800000,1290,80,35,1300,32.42,52.15,80,80,68.55,49.54,44.04,22.02,0.77,0.86,1.73,20,9,50,'-180',180,52.15,70,35,25,52,40,50,20,9999,360,30000,12.03,10000,200,42000,40100,14.08,1.41,10.54,1.05,410,710,0,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Foudre','X',False,False,True,'French','Medium Tank',3473.68,300,250,?,15,11.58,2.20,0.48,0.96,0.06,0.06,0.06,4,2,150,105,1500,720,700,210000,1200,70,40,1140,45.09,50,70,70,70,47.50,42.75,26.72,0.90,1,1.60,11,6,21.88,'-180',180,50,60,40,30,50,30,15,15,900,360,240,6.38,10000,200,28000,25280,16.87,3.34,12.65,2.51,400,950,0,6100000,?,5,1500,10.91,2.73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'FV4202','X',False,False,False,'British','Medium Tank',2837.93,390,268,258,8.25,7.28,2.01,0.31,0.61,0.18,0.18,0.12,4,2,150,105,1478,720,72,28080,1200,40,20,856.40,21.41,52.15,40,40,40,49.54,43.35,21.67,0.67,0.77,1.53,20,10,35,'-180',180,41.72,18,18,18,18,18,18,25,1950,320,250,12.03,260,200,42500,40000,13.74,2.87,10.32,2.16,410,782.25,20,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Hurricane','X',False,True,False,'Polish','Medium Tank',2871.32,390,258,232,8.15,7.36,2.21,0.35,0.69,0.12,0.12,0.06,3,2,150,105,1241,720,50,19500,1120,55,15,740,18.12,50.06,55,55,43.09,47.56,40.77,17.84,0.58,0.67,1.53,20,8,33,'-180',180,52.15,80,50,40,260,60,40,20,2000,370,250,12.03,210,200,42500,40850,15.96,3.34,11.97,2.50,400,730,20,?,22500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'K-91','X',False,False,False,'Soviet','Medium Tank',3513.26,320,276,260,5.47,10.98,1.63,0.32,0.63,0.14,0.10,0.10,4,2,135,100,1700,720,50,16000,1150,55,20,860,19.11,52.15,55,55,36.37,49.54,44.59,22.29,0.86,0.96,1.92,20,9,33.25,'-180',180,46.93,140,60,45,220,140,60,20,1950,360,250,12.03,210,200,50000,45000,17.95,3.56,13.45,2.66,410,730,12,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Leopard 1','X',False,False,False,'German','Medium Tank',2826.19,420,278,269,8.92,6.73,1.63,0.28,0.56,0.13,0.13,0.07,3,2,150,105,1480,720,60,25200,1290,70,23,830,20.75,52.15,70,70,43.87,49.54,44.04,22.02,0.77,0.86,1.73,20,9,35,'-180',180,41.72,70,35,25,52,60,60,20,1850,360,250,12.03,260,200,42000,40000,14.08,2.94,10.54,2.20,410,750,10,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Leopard 1 BB','X',False,False,False,'German','Medium Tank',2826.19,420,278,269,8.92,6.73,1.63,0.28,0.56,0.13,0.13,0.07,3,2,150,105,1480,720,60,25200,1290,70,23,830,20.75,52.15,70,70,43.87,49.54,44.04,22.02,0.77,0.86,1.73,20,9,35,'-180',180,41.72,70,35,25,52,60,60,20,1850,360,250,12.03,260,200,42000,40000,14.08,2.94,10.54,2.20,410,750,10,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Lion','X',False,True,False,'Italian','Medium Tank',3285.45,420,258,248,?,7.82,2.59,0.32,0.63,0.20,0.20,0.12,3,2,150,105,1080,720,44,18480,1120,60,15,830,19.30,46.93,60,60,40.81,46.93,41.72,20.86,0.77,0.86,1.73,20,9,35,'-180',180,54.24,70,30,25,180,70,50,20,1850,360,250,12.03,260,200,45000,43000,14.42,3.01,10.83,2.26,400,750,10,?,22500,4,1680,13.5,4.50,20.13,7.67,9.59,12.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M48A2/T54E2/T123E6','X',False,True,False,'American','Medium Tank',2781.33,400,258,238,8.63,6.95,2.01,0.38,0.77,0.12,0.12,0.08,4,2,165,120,1067,720,36,14400,1060,48.30,20,825,16.59,52.15,48.30,48.30,35.09,49.54,44.04,22.02,0.77,0.86,1.73,20,10,26.25,'-180',180,39.63,152.4,76.2,38.1,203.2,76.2,50.8,20,2000,285,250,12.03,260,200,53000,49714,7.92,0.79,5.93,0.59,400,777.03,12,?,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M48A5 Patton','X',False,False,False,'American','Medium Tank',2922.90,390,268,258,8.01,7.49,1.73,0.34,0.67,0.10,0.10,0.08,4,2,150,105,1478,720,57,22230,1000,48,20,960,20.12,52.15,48,48,42.54,49.54,44.04,22.02,0.77,0.86,1.73,19,9,35,'-180',180,41.72,152.4,76.2,25.4,254,76.2,50.8,20,2000,285,250,12.03,260,200,50350,47719,8.26,1.73,6.21,1.30,420,777.03,12,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M48A5 Patton 7v7','X',False,True,False,'American','Medium Tank',2922.90,390,268,258,8.01,7.49,1.73,0.34,0.67,0.10,0.10,0.08,4,2,150,105,1478,720,57,22230,1000,48,20,960,20.12,52.15,48,48,42.54,49.54,44.04,22.02,0.77,0.86,1.73,19,9,35,'-180',180,41.72,152.4,76.2,25.4,254,76.2,50.8,20,2000,285,250,12.03,260,200,50350,47719,8.26,1.73,6.21,1.30,420,777.03,12,?,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'M60','X',False,True,False,'American','Medium Tank',2773.43,390,268,258,8.44,7.11,1.53,0.32,0.63,0.10,0.10,0.08,3.50,2,150,105,1478,720,57,22230,1000,60,23,950,20.53,54.24,60,60,45.97,51.52,45.08,21.22,0.67,0.77,1.63,19,9,35,'-180',180,43.81,93.2,73.7,25.4,254,76.2,50.8,20,2000,285,250,12.03,260,200,49500,46266,6.95,1.45,5.19,1.08,420,782.25,10,?,22500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Monkey King','X',False,True,False,'Chinese','Medium Tank',3013.11,390,261,251,7.77,7.73,2.11,0.32,0.63,0.14,0.14,0.10,4,2,150,105,1478,720,50,19500,1250,55,25,700,17.50,52.15,55,55,47.57,52.15,45.63,26.07,0.67,0.77,1.34,18,5,35,'-180',180,43.81,135,80,60,275,200,60,20,1950,360,250,12.03,210,200,43000,40000,14.99,3.13,11.23,2.35,420,782.25,12,?,22500,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 140','X',False,False,False,'Soviet','Medium Tank',3034.18,320,264,254,6.33,9.48,2.01,0.34,0.67,0.08,0.08,0.10,4,2,135,100,1535,720,50,16000,1100,55,20,613.22,17.03,56.32,55,55,43.22,53.51,45.27,19.62,0.53,0.62,1.44,17,7,33.25,'-180',180,41.72,110,80,55,240,187,65,20,1900,360,250,12.03,210,200,39000,36000,16.15,3.20,12.08,2.39,400,730,12,6100000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'Object 140 CL','X',False,True,False,'Soviet','Medium Tank',3034.18,320,264,254,6.33,9.48,2.01,0.34,0.67,0.08,0.08,0.10,4,2,135,100,1535,720,50,16000,1100,55,20,613.22,17.03,56.32,55,55,43.22,53.51,45.27,19.62,0.53,0.62,1.44,17,7,33.25,'-180',180,41.72,110,80,55,240,187,65,20,1900,360,250,12.03,210,200,39000,36000,16.15,3.20,12.08,2.39,400,730,12,10000000,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
